Date,Text,Word Count,Minutes Saved
19-11-2022 18:50,Example 1.txt,15,0.375000
19-11-2022 18:50,placeholder.txt,11,0.275000
19-11-2022 18:50,Enligsh text for mail.rtf,518,12.950000
